,banco,fecha,texto,src,rt,fav,palabras,country,type,place,desde,sigue_a,lo_siguen
11,bbva,2020-10-18 05:28:24,"chopo_cercadeti Citibanamex BBVA_Mex BancoAzteca Coppel Si, desde hace un par de meses recibo llamadas de promociones, esto a raíz de actualizar datos en Citibanamex, aún cuando, al momento de firmar, se especificó que no se autorizaban llamadas de promociones de otras instituciones o servicios, se está violando mi privacidad.",Twitter for Android,0,0,"servicio,llamada,servicio",,,,2011-03-01 23:19:00,830,796
12,bbva,2020-10-18 05:27:56,"Ver_y_too dcalderonfp MichaelSoto_CR Un cajero automático BBVA Bancomer aquí? O esos policías ticos están en otro país, o es un edit.",Twitter for Android,0,0,,,,,2010-10-09 08:25:08,1505,1234
14,bbva,2020-10-18 05:23:58,annaisagarciat BBVA de periférico,Twitter for Android,0,0,,MX,city,"Saltillo, Coahuila de Zaragoza",2019-01-02 02:49:53,77,33
15,bbva,2020-10-18 05:23:25,"Y por esto, niños y niñas, el BBVA ahora os va a cobrar 2 eurazos por sacar vuestra pasta en ventanilla: tiene que comprar guantes de goma y recortar los dedos índice para ""regalarlos"" a sus clientes y así parecer los más anti-Covid de todos los bancos. Esos 2€ justificados 🙄 https://t.co/4Ow7DaTh7C",Twitter for Android,0,0,"cliente,banco",,,,2020-03-26 22:59:52,974,354
16,bbva,2020-10-18 05:20:26,general_r Jajajajajajajajajaj weee el HBE regala boletos del bbva prefuntale a pakomartz le gusta pedir regalos,Twitter for Android,0,0,,,,,2019-10-21 21:56:23,1944,1224
17,bbva,2020-10-18 05:19:26,(Video) Esto te ayudará: revelan llamada con el modo de operación para estafar a cuentahabientes de BBVA Bancomer (nota de José Rosario Valles) https://t.co/PeFKLmJzhD,Mobile Web (M2),75,0,"cuenta,llamada",,,,2019-01-09 22:48:20,1650,197
19,bbva,2020-10-18 05:12:24,Resumen y goles | Chivas 3-2 Atlas | Guard1anes 2020 Liga BBVA MX - J14 | TUDN https://t.co/lpKBPtUQlv https://t.co/WsFo9TD7qz,Zapier.com,0,0,,,,,2016-06-11 18:31:54,486,94
20,bbva,2020-10-18 05:12:23,HackathonBBVA  el 46% de participantes son mujeres!! No se pierdan la charada en vivo ahorita de teffcode  https://t.co/jK7E4Q4O2R BBVAInnovation bbva BBVA_Mex,Twitter for Android,2,0,,,,,2010-07-31 03:05:54,3519,2217
22,bbva,2020-10-18 05:09:06,"🤣🤣😂😂🤣🤣😂😂🤣🤣😂😂🤣🤣😂 Periodismo serio... patrocinado por Banco Santander, BBVA, el Pais, etc etc. Isabel Gemio: “Ahora más que nunca es necesario el periodismo serio y riguroso, con respeto a las víctimas” https://t.co/vabkVtFOJ6",Twitter for Android,38,0,tc,,,,2009-10-15 17:53:14,1199,1049
23,bbva,2020-10-18 05:08:32,BenoHernandez77 Cuando al burrocan entras con $200 y al BBVA con $680.. verás que la afición rayada hace más esfuerzo $. . Nomee para que te explicó si estas bien Wey ..  lo que si te digo es  42.5&gt;41  😎👊🏻 https://t.co/tJNkgJWN5O,Twitter for iPhone,0,0,,,,,2011-06-22 00:07:51,1404,1000
25,bbva,2020-10-18 05:06:33,"BBVA_Mex  La app me hizo un descuento por 200 pesos por saldo mínimo cuando la cuenta no requiere ello, además, en una fecha futura (19 de octubre).",Twitter for iPhone,0,0,"cuenta,descuento,app",,,,2010-11-15 09:32:58,69,4396
26,bbva,2020-10-18 05:04:37,Joako_Miller AhedoSamuel tyrion0000 martinolimx Por eso llevamos racha de 5 ganados? Por ratonear? Le fuimos a ratonear al bbva a rayados en serio? También ganamos 4 ligas ratoneando?,Twitter for Android,0,2,,,,,2018-10-02 03:03:58,1783,286
27,bbva,2020-10-18 05:03:19,"En una oficina del BBVA, donde cumplen medidas de seguridad Covid, me entregaron en la entrada ésto👇 Sin capacidad de reacción miré al empleado... y con una sonrisa me explicó que era para ponérselo en el dedo.. para  teclear en el cajero automático.😂😂😂😂😂 https://t.co/wEa0r1n8vf",Twitter for Android,0,0,seguridad,,,,2012-11-30 19:39:29,1216,679
28,bbva,2020-10-18 04:55:11,"Cristina_Diaz_S aztecacomunidad AdrianDeLaGarza Sra Cristina Díaz sus tránsitos todas las tardes están el el Tecnológico Nuevo León frente al Estadio BBVA por P Livas y Por E Cavazos robando ya basta hasta cuándo sangrando al Pueblo este Lunes le tomo Película y la voy a subir,",Twitter for Android,0,0,roba,,,,2020-05-22 06:38:26,102,5
29,bbva,2020-10-18 04:54:01,"DiegoArmaMedina Eso pensé, hasta el segundo gol de hoy es una calca del primero en el BBVA.",Twitter for Android,0,0,,,,,2010-02-17 00:17:37,1578,2556
30,bbva,2020-10-18 04:53:05,"viviendaperu TonyNovoaa CarlosLozadaC congresoperu DiarioElPeruano RadioNacionalFM Agencia_Andina El CONGRESISTA Anthony Novoa, también debe ser DENUNCIADO y INVESTIGADO por la comisión de ética;Unidad de Inteligencia Financiera(UIF) y Superintendencia de Banca y Seguros(SBS).Con calificación PERDIDA y ahora el BBVA le dio un crédito siendo MOROSO a cuenta de que señores. https://t.co/enMb7rPibG",Twitter Web App,2,0,"cuenta,vivienda",,,,2020-07-23 21:32:10,14,18
31,bbva,2020-10-18 04:51:30,"paolobenza Si reactiva lo financia el gobierno y lo garantiza el gobierno, aún no entiendo porque le dio el poder a los bancos, quienes dirigieron los créditos a su antojo. bbva_peru y CajaArequipa nos pasearon cada uno en su momento",Twitter Web App,1,0,banco,,,,2010-05-20 21:50:21,90,49
32,bbva,2020-10-18 04:49:57,mtfc99 Hola no tengo yo pero puede ser en la de mi novio a nombre de Adolfo Figueroa BBVA 012180015607246296,Twitter for Android,0,0,,,,,2020-08-17 01:13:51,325,95
33,bbva,2020-10-18 04:47:28,"BBVA_Mex Asco de servicio, ahora resulta que debes registrar a fuerza tu rostro, pésimo banco",Twitter Web App,1,0,"servicio,banco,servicio",,,,2014-09-30 05:23:33,788,177
34,bbva,2020-10-18 04:46:15,"Como cuando BBVA_Mex te dice que el registro facial es ""para mejorar tu seguridad"" pero guardan en SharedPreferences el contador de ""skips"" y el timestamp  en lugar de manejarlo del lado del server. F por sus developers. Me da miedo imaginar el resto de su código.",Twitter Web App,1,0,seguridad,,,,2014-09-30 05:23:33,788,177
35,bbva,2020-10-18 04:41:26,Que bueno que SinEmbargoMX respaldo esta información de los fraudes de SantanderMx y BBVA_Mex actualmente la publicación de quintopodermex no está disponible https://t.co/obtbbKY9XH,Twitter for Android,1,0,"bueno,fraude",,,,2010-06-14 22:18:25,9435,11154
36,bbva,2020-10-18 04:41:22,Si eres cuentahabiente de SantanderMx o BBVA_Mex cuidado con esto quintopodermex https://t.co/pNuo1jQ4dM vía julioastillero,Twitter for Android,5,0,cuenta,,,,2010-06-14 22:18:25,9435,11154
37,bbva,2020-10-18 04:40:30,jiica SinEmbargoMX SantanderMx BBVA_Mex quintopodermex Los de Santander últimamente son unas asquerosas ratas,Twitter for Android,2,0,,,,,2010-06-14 22:18:25,9435,11154
38,bbva,2020-10-18 04:40:20,SantanderMx BBVA_Mex quintopodermex julioastillero No veo nada que tenga que ver al respecto quien es su CM Brozzo el caso es que SantanderMx es uno de los peores bancos y desde dentro están los pillos,Twitter for Android,1,0,banco,,,,2010-06-14 22:18:25,9435,11154
39,bbva,2020-10-18 04:38:06,Los fraudes bancarios están a la orden del día y en tiempos de pandemia es más difícil resolver el conflicto.  Checa nuestra nota: https://t.co/N7xHlNJYps https://t.co/IXBEw2FQ2I,Twitter for Android,8,0,"pandemia,fraude",,,,2011-04-26 20:02:20,647,189
40,bbva,2020-10-18 04:37:08,Vorph36 Tuitero_Rayado Si he visto muchos y muy buenos  perros en el BBVA,Twitter for iPhone,0,2,bueno,,,,2017-06-02 13:34:12,1286,1300
42,bbva,2020-10-18 04:34:20,"Citi ContactoCitibmx banamexfraude citibanamexfraude banamex fraude No contraten seguros con Citibanamex es FRAUDE Llevo más de un mes esperando el depósito del seguro logros y nada, ni dinero, fecha o explicación BBVA_Mex HSBC_MX Banorte_mx ScotiabankMX  BancoInbursa",Twitter for Android,0,0,"seguro,fraude,dinero",,,,2012-11-13 16:47:49,1239,1094
43,bbva,2020-10-18 04:32:28,ExpresoDeLaMañana estarc62 No olvidemos apoyar la Madre Inés. Todo suma BBVA a nombre de   Casa Hogar Divina Providencia No. de cuenta 0107187785  clabe interbancaria  012180001071877852 Tel. 55 5852 0390  ContinuamosContigo UsaCubrebocas  QuédateEnCasa si puedes https://t.co/T4a36ngurd,Twitter for iPhone,6,0,cuenta,,,,2010-01-14 20:17:56,1357,4006
45,bbva,2020-10-18 04:29:07,Google News: ¡GOLEADA! Gol de Brizuela | Chivas 3-0 Atlas | Guard1anes 2020 Liga BBVA MX - J14 | TUDN - TUDN México https://t.co/nCri66q78u,NewsBotMX,0,0,,,,,2018-07-04 19:36:37,0,48
47,bbva,2020-10-18 04:25:44,"JuanCarlos_MZ riczenmind EstebanMonribot techsantos BBVA_Mex Es más, en la página de BBVA te dice y explica que es Apple Pay, así que supongo que es buena señal.",Twitter for iPhone,0,0,,,,,2020-09-16 17:30:16,46,1
48,bbva,2020-10-18 04:23:53,JuanCarlos_MZ riczenmind EstebanMonribot techsantos BBVA_Mex En la página de Apple aparece que BBVA será compatible.,Twitter for iPhone,0,0,,,,,2020-09-16 17:30:16,46,1
49,bbva,2020-10-18 04:22:40,Con dos cojones Iñaki....con un par.  Un Trilero de la justicia y trincon del BBVA para enturbiar más el cotarro. Con lo bueno que eras entrevistando a Foto el de los Fitipaldis..... https://t.co/nrPVUS7HfY,Twitter for Android,0,0,bueno,,,,2011-06-02 19:32:31,637,487
51,bbva,2020-10-18 04:19:14,Educación- Valores - Liderazgo empieza con la educación y modelaje y valores https://t.co/40GZA14S1t::,Twitter for iPhone,0,0,,,,,2012-09-26 22:35:49,729,313
53,bbva,2020-10-18 04:18:42,jremija Soyfurrr Solo no recomiendo la tarjeta vive de BBVA porque la taza de interés es altísima y te come fácilmente.,Twitter for Android,0,0,tarjeta,,,,2011-04-19 19:07:45,843,260
55,bbva,2020-10-18 04:17:08,"Moda_Suburbia BBVARe_mx BBVA_Mex Hice una compra en la tienda ubicada en el centro comercial Las Américas, en Ecateoec de Morelos, Edo Mex y no aceptaron la promoción, tanto la cajera como la supervisora, comentaron que hacer la conversión de los puntos",Twitter for Android,0,0,puntos,,,,2012-09-24 22:30:51,276,46
56,bbva,2020-10-18 04:13:35,Pa que me felicitan si no me van a regalar 100mil pesos! bbva https://t.co/6ohYD9CfmO,Twitter for Android,0,2,,,,,2013-08-24 17:40:20,1105,3911
57,bbva,2020-10-18 04:12:44,"Resultados de los partidos de hoy,  Fecha 14, Liga BBVA Mx , Torneo Guard1anes 2020. DeportePicanteOficial LigaBBVAMx Guard1anes2020 https://t.co/HTxQqPacil",Twitter for iPhone,1,0,,,,,2019-05-17 17:35:26,27,47
59,bbva,2020-10-18 04:10:59,bbva_peru HenrryVillar Para que di ya fué,Twitter for Android,0,0,,,,,2020-09-12 16:35:15,99,0
60,bbva,2020-10-18 04:07:00,"EN ANTENA | 📰 Repasamos la actualidad: BBVA cobrará 2 euros por sacar dinero en ventanilla desde enero, se admite la primera demanda colectiva de asufin_ contra carrefourES y el recibo de la luz se sitúa en el precio más alto desde enero según facua   https://t.co/W5g2aX2wOm",TweetDeck,0,0,dinero,,,,2011-09-29 15:31:46,318,19775
61,bbva,2020-10-18 04:06:01,"Marcador Final, Cruz Azul 0 vs Tigres 2 , Fecha 14, Liga BBVA Mx , Torneo Guard1anes 2020. ZonadeCruzAzul  CruzAzul EternamenteAzul UnaFormadeVida ConTodoContraTodo LigaBBVAMx Guard1anes2020 https://t.co/BoX4wO0NwW",Twitter for iPhone,0,0,,,,,2017-06-26 17:12:39,248,321
62,bbva,2020-10-18 04:05:52,"Sábado de Guard1anes2020  ✔️ Rayados golea en el BBVA a la Franja.   ⚽ Las Chivas con goles de AntunaUriel, JJMacias9 y brizuela27_cone ganan el Clásico Tapatío.   🏟️ TigresOficial se lleva los tres puntos del Coloso de Santa Úrsula.   LigaBBVAMX https://t.co/sIrkRJGsba",Twitter for Android,0,0,puntos,,,,2013-01-14 01:47:14,642,1181
63,bbva,2020-10-18 04:05:31,"Marcador Final, Cruz Azul 0 vs Tigres 2 , Fecha 14, Liga BBVA Mx , Torneo Guard1anes 2020. MaquinaAzulOficial CruzAzul EternamenteAzul UnaFormadeVida ConTodoContraTodo LigaBBVAMx Guard1anes2020 https://t.co/l2P9ebCfGm",Twitter for iPhone,0,0,,,,,2019-05-17 17:38:02,55,78
64,bbva,2020-10-18 04:05:19,"BBVA detecta la intromisión de personas ajenas a ti intentando quedarse con tus datos bancarios, por lo cual se cierra automáticamente para evitar que te roben mientras intentas compartir tu comprobante. Por eso, termina la operación y buscala después. Está más detallada.",TweetCaster for Android,0,0,roba,,,,2019-03-04 11:31:01,44,3
65,bbva,2020-10-18 04:03:44,BBVA nada más que pone pegas y mierdas. La peor decisión de mi vida fue hacerme de su banco. Que difícil lo ponen absolutamente todo. Me hice una cuenta vía online que luego cancelé al año y pico. Ahora me dicen que para arreglar el tema de un reembolso vaya a mi oficina. A cual?,Twitter for Android,0,0,"cuenta,banco,reembolso",ES,city,"Seville, Spain",2012-01-17 10:53:44,776,790
66,bbva,2020-10-18 04:02:22,"Como no quiero que les suceda lo mismo que a mí, déjenme decirles que me aventaba GDrive un archivo de BBVA que intentaba guardar. Tienen que dejar que toda la operación termine, no compartan el comprobante en la primera oportunidad. Al finalizar busca en operaciones y ahí estará",TweetCaster for Android,0,0,roba,,,,2019-03-04 11:31:01,44,3
68,bbva,2020-10-18 04:00:55,"dramasqueenx Elolfato JaimeHonorio Pero nos siguen robando...los españoles de allá...Movistar, Santander, Repsol, BBVA, MAPFRE, etc. Más de 450 empresas españolas en Colombia se llevan nuestras riquezas, nos explotan con sueldos miserables y periodistas como la Hernández que no es más que una Lozano disfrazada!",Twitter for Android,1,0,"tc,roba",,,,2017-11-06 00:59:51,902,1885
69,bbva,2020-10-18 03:59:13,⏰ 90’ minutos de acción del CruzAzul vs Tigres  Se agregaron 4 minutos   🔵⚪️0️⃣🆚2️⃣🟠🔵  📻 730 AM   📲 https://t.co/hMClvZ0r3I  Guard1anes2020xW LaVozDelFutbol https://t.co/mzWKRhNecc,Twitter for Android,1,0,,,,,2019-10-10 12:05:26,1144,111
70,bbva,2020-10-18 03:58:50,¡El árbitro pita el final!  ¡Se acabó el  encuentro entre el CruzAzulCD y TigresOficial !   🔵⚪️0️⃣🆚2️⃣🟠🔵  📻 730 AM   📲 https://t.co/hMClvZ0r3I  Guard1anes2020xW LaVozDelFutbol https://t.co/f6sy8NYt49,Twitter for Android,1,0,,,,,2015-04-16 14:40:49,233,101
75,bbva,2020-10-18 03:56:00,"El Segundo Round es por los niños de Puebla  Meta: $450,0000  Con lo recaudado se donará medicamento para los niños que  se atienden en el Hospital para el niño poblano. Dona en : 0110098078 BBVA  Clabe: 012320001100980784 Campeones de la vida NR AC  Gracias milagro https://t.co/U2IQob0ksF",Twitter for iPad,2535,0,,,,,2010-06-23 20:21:43,345,43
77,bbva,2020-10-18 03:51:39,GueroChristian BBVARe_mx BBVA_Mex Lo malo es que nadie de Bancomer se pone en contacto solo tienen un Bot con respuestas ya elaboradas,Twitter Web App,0,0,respuesta,,,,2011-03-12 03:36:33,329,69
78,bbva,2020-10-18 03:51:07,BBVA_Mex por qué mi aplicación de pronto se borro mis datos y no me deja entrar? No reconoce ninguna información,Twitter for Android,0,0,,,,,2010-02-23 15:32:45,861,173
79,bbva,2020-10-18 03:50:25,(Video) Esto te ayudará: revelan llamada con el modo de operación para estafar a cuentahabientes de BBVA Bancomer (nota de José Rosario Valles) https://t.co/CWSGXVcML5 vía julioastillero,Twitter for Android,0,0,"cuenta,llamada",,,,2011-10-15 01:32:11,1926,1510
80,bbva,2020-10-18 03:48:33,"RaulLuna liga https://t.co/N6WGAbaAWI , selecciona ""Continuar"", posteriormente ""Soy persona"" y en la parte inferior ""Documentos y enlaces de interés"" donde podrás conocer términos y condiciones. 2/2",S1Gateway,0,0,,,,,2013-03-08 17:25:23,40408,106419
81,bbva,2020-10-18 03:48:23,"RaulLuna Para BBVA la seguridad de tu cuenta es muy importante, el uso de biométricos es una forma de reforzarla y tus datos son confidenciales. Puedes conocer mayor detalle de este proceso de seguridad a través de tu contrato único digital ingresando a la siguiente 1/2",S1Gateway,0,0,"cuenta,seguridad",,,,2013-03-08 17:25:23,40408,106419
83,bbva,2020-10-18 03:45:48,⏰ 80’ minutos de acción del CruzAzul vs Tigres  🔵⚪️0️⃣🆚2️⃣🟠🔵  📻 730 AM   📲 https://t.co/hMClvZ0r3I  Guard1anes2020xW LaVozDelFutbol https://t.co/aorDf3tBue,Twitter for iPhone,0,0,,,,,2015-06-03 22:32:22,398,22189
85,bbva,2020-10-18 03:45:09,"BBVARe_mx Reitero que he dejado de usarla desde hace dos meses porque no refuerza la seguridad y los términos de uso no explican el alcance real de colectarlos. Tal vez más adelante, cuando lo sean, retome mi relación con BBVA.",Twitter for iPhone,0,0,seguridad,,,,2008-04-22 18:48:59,4209,4518
86,bbva,2020-10-18 03:44:24,"Hasta cuando vamos a seguir pagando el impuesto ""temporal"" del 4XMil, que se creó para salvar a los Chupasangre de los bancos como el BBVA_Colombia grupoaval ScotiaColpatria Ese impuesto hoy cumple 21 años. Y el pueblo pague, pague y pague.",Twitter for Android,0,0,"banco,impuesto",,,,2010-07-09 05:03:55,2484,2631
88,bbva,2020-10-18 03:40:22,"RaulLuna Buenas noches, estamos a tu servicio. Es importante realizar este registro facial con la finalidad de reforzar la seguridad de tu aplicación BBVA México. Te recordamos que sólo deberás conversar con esta cuenta que está verificada con palomita azul.",S1Gateway,0,1,"cuenta,servicio,servicio,seguridad",,,,2013-03-08 17:25:23,40408,106419
90,bbva,2020-10-18 03:37:56,paolobenza Hola Paolo soy cliente del BBVA hace 10 años solicite el prestamo reactiva y esto me respondieron https://t.co/9oRUQeDPyo,Twitter for Android,0,1,cliente,,,,2014-04-04 01:39:20,741,50
91,bbva,2020-10-18 03:37:48,⏰ 72’ minutos de acción del CruzAzul vs Tigres  Gol anulado a la máquina por un fuera de lugar   🔵⚪️0️⃣🆚1️⃣🟠🔵  📻 730 AM   📲 https://t.co/hMClvZ0r3I  Guard1anes2020xW LaVozDelFutbol,Twitter for iPhone,0,2,,,,,2015-06-03 22:32:22,398,22189
93,bbva,2020-10-18 03:28:11,"Decorceramica tiene convenios de descuento con el bbva justo después cuando acabamos el apartamento, POR QUE SON ASÍ, QUE COSTABA SACARLOS HACE DOS MESES, uno comprando los pisos bien caros allá 😭",Twitter for Android,0,1,descuento,,,,2011-11-05 01:22:01,1239,1245
94,bbva,2020-10-18 03:27:08,"BBVA_Mex  tarjeta de credito VIVE, no pasa los puntos en suburbia (hay promocion de puntos dobles) intente en 3 establecimientos. No tengo ninguna restricción en la tarjeta, es como tal todas las tarjetas VIVE. Moda_Suburbia  se echan la bolita que es uno u otro.",Twitter for Android,0,0,"tarjeta,puntos,credito",,,,2011-10-10 07:06:22,12,0
96,bbva,2020-10-18 03:24:02,"Creo que Banamex, BBVA y Banco Azteca ya no sirven...LIC GEREG",Twitter for Android,0,0,,,,,2019-12-29 00:13:13,10,0
97,bbva,2020-10-18 03:24:01,⏰ 60’ minutos de acción del CruzAzul vs Tigres  🔵⚪️0️⃣🆚0️⃣🟠🔵  📻 730 AM   📲 https://t.co/hMClvZ0r3I  Guard1anes2020xW LaVozDelFutbol,Twitter for iPhone,0,1,,,,,2015-06-03 22:32:22,398,22189
98,bbva,2020-10-18 03:19:46,⏰ 55’ minutos de acción del CruzAzul vs Tigres  ❌El “Cabecita” Rodríguez Falla el Penal   🔵⚪️0️⃣🆚0️⃣🟠🔵  📻 730 AM   📲 https://t.co/hMClvZ0r3I  Guard1anes2020xW LaVozDelFutbol,Twitter for iPhone,0,1,,,,,2015-06-03 22:32:22,398,22189
101,bbva,2020-10-18 03:16:22,Tuitero_Rayado El estadio BBVA a ver a Rayados,Twitter for Android,0,4,,,,,2018-11-15 19:06:59,222,354
102,bbva,2020-10-18 03:14:24,📹 ElResumen Revive lo mejor del partido en el Estadio BBVA entre Monterrey y Puebla.   Rayados se llevó la victoria 3 goles a 1 en su compromiso de la Jornada14.  Guard1anes2020 ⚽ LigaBBVAMX https://t.co/zd7rn5kRIu,Twitter for iPhone,14,0,,,,,2014-05-24 04:29:20,932,1096
103,bbva,2020-10-18 03:13:47,"¡En BBVA Provincial estamos de aniversario! Cumplimos 67 años,  celebramos que seguimos apostando y creando oportunidades para todos…  MesdeAniversario AniversarioBBVAProvincial 67añosBBVAProvincial Venezuela QuedateEnCasa https://t.co/5wb2aguua9",Twitter Web App,3,0,,,,,2014-02-24 15:41:50,517,16
104,bbva,2020-10-18 03:12:13,LaClavijo_ bbva davidbarguil ma_camiladiaz JuanPabloCalvas AntonioSanguino MafeCarrascal A mi me pasó algo similar con SantanderMx y con invextarjetas...  ¿A quién podemos acudir?  CondusefMX Profeco AtencionProfeco,Twitter for Android,0,0,tarjeta,,,,2010-09-29 01:23:04,685,648
106,bbva,2020-10-18 03:09:30,"💬| “Seguir creciendo, seguir creyendo”, rogelio7funes   ComentarioRayado BBVA_Mex  ArribaElMonterrey 💙⚪️ https://t.co/g2YrOVq4Xd",Twitter for Android,32,0,,,,,2016-03-31 04:06:03,60,36
107,bbva,2020-10-18 03:09:22,¡ Suena el silbato! comienza la segunda mitad entre CruzAzul y Tigres  🔵⚪️0️⃣🆚0️⃣🟠🔵  📻 730 AM   📲 https://t.co/hMClvZ0r3I  Guard1anes2020xW LaVozDelFutbol,Twitter for iPhone,0,2,,,,,2015-06-03 22:32:22,398,22189
111,bbva,2020-10-18 03:07:30,Si eres cuentahabiente de Santander o BBVA cuidado con esto (por QuintoPoder) https://t.co/qBqopW78MA vía julioastillero,Twitter for Android,20,0,cuenta,,,,2012-04-21 18:00:56,175612,171993
112,bbva,2020-10-18 03:05:19,BBVA_Mex ¿hay fallas con la app?,Twitter for Android,0,0,app,,,,2015-12-26 22:51:07,221,15
113,bbva,2020-10-18 03:05:10,Guard1anes2020 | Rayados ya arribó a las instalaciones del BBVA para su duelo ante Puebla. Llegó en solo un autobús. 👇  📹: Karinaggz ➡️ https://t.co/PlEIAlKe7z  SomosONCE https://t.co/KmtXFYI8RE,Twitter for Android,2,0,,,,,2010-01-26 22:32:59,1219,729
114,bbva,2020-10-18 03:04:30,¡Terminó el partido! Marcador Final: Rayados 3 - 1 ClubpueblaMX. Los videos están en https://t.co/KjTAsjr8RL,Twitter for iPhone,4,0,,,,,2014-05-24 04:29:20,932,1096
116,bbva,2020-10-18 03:03:26,leonxxxiii BBVA? Deben estar chochos.,Twitter Web App,0,0,,,,,2015-11-24 00:07:46,180,193
117,bbva,2020-10-18 03:03:21,BBVA_Mex porque las app de Bancomer no funcionan o tardan mucho en abrir,Twitter for Android,0,0,app,,,,2018-03-01 05:36:28,756,399
119,bbva,2020-10-18 02:58:09,SinhueCasanova BBVA_Mex Jaja la neta siempre me pasa,Twitter for iPhone,0,0,,,,,2012-03-24 07:08:04,44548,55729
120,bbva,2020-10-18 02:58:00,SancadillaNorte Hace falta un regalito de esos que se acostumbran dar en el BBVA a favor de los lupitos,Twitter for Android,0,0,,,,,2013-02-24 11:48:58,1321,374
121,bbva,2020-10-18 02:57:41,ChicoCheVive Cada que mes me manda una carta Don BBVA_Mex y también me doy cuenta de lo mismo 🤷🏻‍♂️,Twitter for iPhone,0,1,cuenta,,,,2010-07-12 18:27:42,1942,1903
122,bbva,2020-10-18 02:56:05,Torres (BBVA): los fondos para la recuperación deben llegar a la educación https://t.co/YSCTSQ3LOk https://t.co/mTxwW1BaWp,bms_twitter_MercadosNWS,0,0,,,,,2015-11-04 08:47:58,3780,2798
125,bbva,2020-10-18 02:55:12,BBVA Bancomer y SECTUR consolidan el uso de la tecnología BigData para for https://t.co/hvC0Qx6y7o,SocialOomph,0,0,,,,,2017-08-22 14:55:23,316,687
127,bbva,2020-10-18 02:52:18,"BBVA_Mex cómo puedo hacer una transferencia desde mi app ??? Ya no me deja entrar, ayuda por favor!!!",Twitter for iPhone,0,0,"transferencia,app",,,,2010-03-05 01:37:02,137,56
128,bbva,2020-10-18 02:50:41,Vota por tu proyecto favorito de RetoDocs 2020 a partir de hoy sábado 17 y hasta el viernes 23 de octubre y ¡decide al ganador!  Vota ahora: https://t.co/CsZTBnBwEo  Gracias al apoyo de vivepanasonic BBVA_Mex imcine y todos los que aceptaron el reto este año. https://t.co/dz5WIrMiGj,Twitter for iPhone,10,0,,,,,2013-12-21 05:28:31,276,390
