,banco,fecha,texto,src,rt,fav,country,type,place,desde,sigue_a,lo_siguen
389,citibanamex,17/10/2020 01:36,ribarzabal CondusefMX Citi Citibanamex CiroGomezL CarlosLoret ratas con ratas no te ayudan.blessed s,Twitter for Android,0,2,MX,city,"Poza Rica de Hidalgo, Veracruz de Ignacio de la Llave",24/09/2020 01:27,1324,134
395,citibanamex,17/10/2020 01:34,ocesa_total Citibanamex Esta increible!!,Twitter for Android,0,0,,,,29/04/2014 14:31,275,45
396,citibanamex,17/10/2020 01:34,ceefmx JLozanoA Citibanamex Contigo se perdieron 50000 con luz y fuerza en una noche ja ja ja tu y borolas mataron a los trabajadores,Twitter for Android,0,1,,,,19/07/2020 20:10,49,1
398,citibanamex,17/10/2020 01:32,"Citibanamex que nefasto es su sistema de llamada, no puedo comunicarme con un asesor...",Twitter Web App,0,0,,,,10/01/2011 22:12,123,65
417,citibanamex,17/10/2020 01:21,"Al cierre de 2020 se acumularán 890,000 empleos formales perdidos y en 2021 sólo se recuperarán 390,000: Citibanamex - Infobae https://t.co/1XYh45svEH",Twitter for iPhone,0,1,,,,29/07/2010 19:36,4314,9107
419,citibanamex,17/10/2020 01:20,"PokzBo Citibanamex En av Cuauhtémoc cerca del centro médico abren los días sábado, es una plaza no recuerdo el nombre hay una parada del metrobús junto antes de la de cetro médico, lleva INE y te la cancelan rápido, yo la cancele por cobros de comisiones abusivas, pase ,i inversión a otro banco.",Twitter for iPad,0,0,,,,02/04/2010 04:13,472,129
428,citibanamex,17/10/2020 01:16,"JuanmarioL jmonrooy Sumándole que el 20 también que la app de CitiBanamex va a dejar de estar disponible y como no me pagan ni pierdo followers por no acertar, puedo especular la fecha que guste hasta que le atine!",Twitter for iPhone,0,0,,,,04/03/2009 06:46,445,161
448,citibanamex,17/10/2020 00:53,"ContactoCitibmx No me han devuelto nada de lo que fue pagado con transferencia citibanamex ($4,817.81), lo único que me devolvieron son los 2981.19 que pagué con mercado pago. En Septiembre me dijeron que si les mostraba el estado de cuenta cerrado DE MI BANCO, me lo devolverían pero es mentira.",Twitter for Android,0,0,,,,21/11/2015 04:37,63,2
450,citibanamex,17/10/2020 00:53,"Doctoras, doctores, enfermeras, enfermeros y personal de limpieza que trabaja en la unidad temporal COVID19 en el Centro Citibanamex están realizando un trabajo extraordinario, a pesar del miedo, incertidumbre y los obstáculos.  📷 Del Instagram de Pajaropolitico. https://t.co/LWmXm550Oq",Twitter Web App,4,0,,,,16/05/2019 20:26,32,7737
452,citibanamex,17/10/2020 00:51,PokzBo Citibanamex BBVA está muy bien.,Twitter for iPhone,0,1,,,,18/05/2008 02:44,6783,7904
456,citibanamex,17/10/2020 00:49,"Hablando de abusos, BBVA y Citibanamex, son los bancos con las tarjetas de crédito más caras. https://t.co/VIbqpMlgsG a través de Milenio",Twitter for Android,19,0,,,,04/05/2010 02:19,97,72
459,citibanamex,17/10/2020 00:37,Adiós Citibanamex del TolucaFC  después de ser nuestro principal patrocinador en la playera 19 años (2001-2020)  DiablosTwiteros,Twitter for Android,0,0,,,,02/10/2010 03:49,389,433
460,citibanamex,17/10/2020 00:32,"carlos2592 Hace rato lo calé para ver si era cierto y sicierto! Por ahí leí un tuit con los participantes financieros que comenzarán en la primera fase, y la neta me sorprendieron mucho, jaja. Caja Popular Mexicana, Azteca, HSBC, Banorte, AMEX y Citibanamex. A ver si es cierto.",Twitter for iPhone,0,1,,,,26/02/2009 18:33,344,326
462,citibanamex,17/10/2020 00:09,"carm0na Hola buenas tardes, para preventas CITIBANAMEX son permitidas crédito y débito.",Twitter Web App,0,0,,,,04/02/2014 21:56,12052,89280
463,citibanamex,17/10/2020 00:08,"faofi Hola Alexia, una disculpa, debido a la contingencia el tiempo de respuesta es mayor al habitual.  ¿Te gustaría dejarnos algún comentario o sugerencia para Citibanamex? Por favor indícanos los siguientes datos a nuestra dirección de correo electrónico contactocitibanamexciti.com",Sprinklr,0,0,,,,28/07/2009 21:15,74596,161711
464,citibanamex,17/10/2020 00:05,"ServicioTM para una preventa CITIBANAMEX puede ser con cualquier tarjeta de banamex, ejemplo débito, o hay algunas tarjetas que no son válidas??",Twitter Web App,0,0,,,,24/08/2010 03:35,270,58
465,citibanamex,17/10/2020 00:03,Ni el pendejo Citibanamex me hizo estas tonterías. Y eso que me tenía hasta el huevo y por eso cancelé todo y me cambié con ustedes. Los odio SantanderMx,Twitter for iPhone,0,8,,,,07/11/2009 04:13,330,76163
466,citibanamex,16/10/2020 23:51,"Peso tiene su tercera semana con ganancias, Dólar se vende hasta en $21.54  En los bancos el precio más alto para el dólar fue de 21.54 pesos, esto en el caso de Citibanamex. En tanto, Banorte lo ofertó en 21.40 pesos y BBVA en 21.39 pesos.  https://t.co/GT9s28if6M https://t.co/mVJRciOYCB",TweetDeck,0,1,,,,04/01/2011 20:37,226117,249358
470,citibanamex,16/10/2020 23:36,Gabriela_Gabbu ¿Te gustaría dejarnos algún comentario o sugerencia para Citibanamex? Por favor indícanos los siguientes datos a nuestra dirección de correo electrónico contactocitibanamexciti.com,Sprinklr,0,0,,,,28/07/2009 21:15,74596,161711
